fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,inso,p_sol,w_racha,w_rec
2015-01-01,Alcantarilla,12.9,25.9,19.4,-2.5,43.0,279.2,66.7(05/sep),982.3,1035.9,1010.3,1019.1,57,8.5,69.0,,
2016-01-01,Alcantarilla,13.0,25.6,19.3,-0.6,43.6,414.5,112.4(18/dic),987.9,1028.9,1008.9,1017.7,57,8.3,67.0,,
2017-01-01,Alcantarilla,12.4,25.9,19.1,-3.8,41.0,199.8,57.1(13/mar),985.7,1029.1,1009.9,1018.7,57,8.8,71.0,34/21.7(05/feb),206
2018-01-01,Alcantarilla,12.6,25.4,19.0,-1.8,41.0,362.9,45.8(14/nov),981.5,1026.8,1007.2,1016.0,57,8.4,68.0,33/23.3(24/mar),217
2019-01-01,Alcantarilla,12.0,25.8,18.9,-3.5,42.8,477.7,179.7(12/sep),987.6,1026.3,1008.2,1017.0,57,8.6,70.0,10/21.1(23/ene),212
2020-01-01,Alcantarilla,12.1,25.9,19.0,-1.9,42.0,343.4,68.3(23/mar),985.2,1027.2,1009.1,1017.9,59,8.6,70.0,,
2021-01-01,Alcantarilla,12.8,25.6,19.2,-3.0,47.0,341.3,65.2(23/may),992.8,1026.3,1008.4,1017.2,59,7.7,63.0,,
2022-01-01,Alcantarilla,13.2,26.5,19.9,-2.4,45.1,419.3,49.5(25/sep),991.5,1026.7,1009.0,1017.8,58,7.9,64.0,10/18.6(23/mar),197
2023-01-01,Alcantarilla,12.9,26.9,19.9,-2.5,43.9,232.2,33.5(30/may),984.6,1029.2,1008.9,1017.7,55,,,,
2024-01-01,Alcantarilla,13.6,26.9,20.3,-0.2,42.6,179.1,34.9(10/jun),984.3,1032.3,1008.3,1017.0,54,,,03/24.7(10/jun),217
